,appid,playtime_forever,playtime_windows_forever,playtime_mac_forever,playtime_linux_forever,rtime_last_played,playtime_2weeks,player
169,703080,60,60,0,0,1638350936,,1
170,554620,203,203,0,0,1604463883,,1
171,435150,6754,2737,0,0,1631484952,,1
172,736190,240,0,0,0,1539625551,,1
173,582160,2733,0,0,0,1522825405,,1
174,368230,44,0,0,0,1520539806,,1
175,779340,9234,7121,0,0,1658787437,,1
176,795630,0,0,0,0,0,,1
177,252490,0,0,0,0,0,,1
178,700580,0,0,0,0,0,,1
179,815370,0,0,0,0,0,,1
180,552520,2526,2526,0,0,1606645348,,1
181,834910,45,0,0,0,1555100388,,1
182,838350,7505,4639,0,0,1665620107,,1
183,848450,1641,1641,0,0,1659950615,,1
184,750920,746,524,0,0,1630445372,,1
185,638970,29,29,0,0,1602901741,,1
186,880940,232,232,0,0,1650166356,,1
187,728880,1242,953,0,0,1636346260,,1
188,356190,621,621,0,0,1578785547,,1
189,812140,4142,3126,0,0,1606186774,,1
190,412020,120,120,0,0,1615813199,,1
191,1449560,0,0,0,0,0,,1
192,304390,53,0,0,0,1535109217,,1
193,654310,0,0,0,0,0,,1
194,939850,320,320,0,0,1635316692,,1
195,942970,1097,1097,0,0,1579780447,,1
196,945360,2155,2155,0,0,1655790485,,1
197,492720,1054,1054,0,0,1646612999,,1
198,489520,0,0,0,0,0,,1
199,1004240,6,4,0,0,1601987551,,1
200,278360,0,0,0,0,0,,1
201,359550,895,21,0,0,1609570036,,1
202,623990,0,0,0,0,0,,1
203,50130,112,0,0,0,1550195521,,1
204,1030830,0,0,0,0,0,,1
205,1030840,579,579,0,0,1645410947,,1
206,1042380,266,266,0,0,1658595710,,1
207,1046930,3029,60,0,0,1580122309,,1
208,814380,536,506,0,0,1621686641,,1
209,1049590,130,130,0,0,1606365833,,1
210,1057090,980,980,0,0,1649925273,,1
211,761890,13,13,0,0,1654123107,,1
212,1097150,309,309,0,0,1658183216,,1
213,1123770,762,762,0,0,1644647976,,1
214,690640,1280,1280,0,0,1615818779,,1
